PHƯƠNG PHÁP TÍNH DIỆN TÍCH
KHU VỰC THI CÔNG | HỆ SỐ TÍNH
Tầng hầm có độ sâu từ 1.0 đến dưới 1.3 m so với Code vỉa hè | 150% diện tích
Tầng hầm có độ sâu từ 1.3 đến dưới 1.7 m so với Code vỉa hè | 170% diện tích
Tầng hầm có độ sâu từ 1.7 đến dưới 2.0 m so với Code vỉa hè | 200% diện tích
Tầng hầm có độ sâu từ 2.0 m trở lên so với Code vỉa hè | 250% diện tích
ĐỐI VỚI HẦM CÓ DIỆN TÍCH SỬ DỤNG < 80M2 | HỆ SỐ TÍNH NHƯ TRÊN +20% diện tích
Phần móng công trình thi công móng băng | 40% diện tích tầng trệt
Phần móng công trình thi công móng cọc | 30% diện tích tầng trệt
Phần móng công trình thi công móng bè | 60% diện tích tầng trệt
Phần diện tích có mái che (trệt, lửng, lầu 1, lầu 2, 3,... Sân thượng có mái che) | 100% diện tích
Phần diện tích không có mái che ngoại trừ sân trước và sân sau (Sân thượng không mái che, sân phươi...) | 50% diện tích
mái bê tông cốt thép | 50% diện tích
Mái TOLE (bao gồm toàn bộ phần xà gỗ sắt hộp và tole lợp) - tính theo mặt nghiêng | 30% diện tích
Mái ngoái kèo sắt (bao gồm toàn bộ hệ khung kèo và ngói lợp) - tính theo mặt nghiêng | 70% diện tích
Mái ngói BTCT | 100% diện tích
Sân trước và sân sau (Trong trường hợp sân trước và sân sau có diện tích lớn có thể xem xét lại hệ số tính) | 70% diện tích
Mỗi ô trống trong nhà mỗi sàn có diện tích < 8m2 | 100% diện tích
Mỗi ô trống trong nhà mỗi sàn có diện tích > 8m2 | 50% diện tích
Khu vực cầu thang | 100% diện tích
